Id_orcamento,Data_ano,Nome_unidade,Nome_programa,Nome_acao,Dotacao_atual,Empenhado,Liquidado,Pago,Maior_que_media
118,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Formação de Astronautas,R$ 11950000,11950000,11950000,11950000,True
105,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Complementação da Infra-Estrutura Geral do Centro de Lançamento de Alcântara,R$ 21500000,21509426,21509426,11779411,True
103,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Participação Brasileira no Desenvolvimento do Satélite Sino-Brasileiro - Projeto CBERS,R$ 78122500,78033830,78033830,46219753,True
99,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Gestão e Administração do Programa,R$ 7344506,7342084,7342084,6754450,True
104,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Participação Brasileira na Estação Espacial Internacional - ISS,R$ 5826000,5626000,5626000,5626000,True
115,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Desenvolvimento de Veículos Lançadores de Satélites,R$ 22485560,22533070,22533070,6108144,True
114,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Desenvolvimento e Lançamento de Satélites de Aplicação,R$ 17006500,17004561,17004561,15707599,True
92,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Reconstrução da Torre Móvel de Integração do Sítio do Veículo Lançador de Satélite,R$ 7650000,7650000,7650000,7650000,True
117,2005,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Desenvolvimento e Lançamento de Satélites de Sensoriamento Remoto com Imageador Radar,R$ 5785000,5784267,5784267,5328226,True
164,2007,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Funcionamento da Infra-Estrutura de Apoio a Satélites,R$ 7000000,6974386,4618552,4618083,True
169,2007,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Participação Brasileira no Desenvolvimento do Satélite Sino-Brasileiro - Projeto CBERS,R$ 93355000,93302156,56613580,56585593,True
156,2007,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Desenvolvimento de Satélites de Sensoriamento Remoto,R$ 14184400,13474796,11945604,10692191,True
165,2007,Agência Espacial Brasileira,Nacional de Atividades Espaciais - Pnae,Gestão e Administração do Programa,R$ 11272839,8517389,8237868,8211819,True
